English,Nepali,Maths,Science,Social
enB,neC,maC,scC,soD
enB,neB,maB,scB,soC
enA,neA,maB,scB,soA
enA,neA,maA,scA,soA
enA,neB,maA,scB,soA
enB,neB,maC,scC,soB
enB,neC,maD,scC,soD
enA,neA,maA,scA,soA
enC,neD,maD,scD,soD
enC,neC,maD,scD,soC
enA,neA,maA,scA,soA
enA,neB,maA,scA,soA
enB,neC,maC,scD,soD
enB,neC,maA,scB,soC
enC,neC,maC,scB,soC
enB,neB,maC,scB,soC
enB,neC,maC,scC,soD
enB,neA,maA,scA,soA
enB,neB,maB,scB,soB
enC,neC,maD,scD,soD
enB,neC,maD,scC,soD
enA,neB,maB,scB,soC
enC,neC,maC,scB,soC
enC,neC,maD,scD,soD
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neB,maB,scB,soB
enA,neA,maA,scA,soB
enB,neC,maC,scC,soC
enB,neC,maB,scB,soC
enA,neA,maA,scA,soA
enB,neC,maB,scB,soC
enC,neC,maB,scB,soC
enC,neD,maC,scC,soC
enB,neC,maD,scC,soC
enB,neC,maC,scB,soC
enC,neC,maD,scC,soD
enB,neA,maA,scA,soB
enB,neB,maA,scA,soB
enC,neC,maD,scC,soD
enA,neA,maA,scA,soB
enB,neC,maB,scA,soB
enC,neC,maD,scC,soD
enA,neB,maA,scA,soA
enB,neA,maA,scA,soA
enB,neC,maC,scC,soC
enA,neC,maC,scB,soC
enB,neB,maA,scA,soB
enB,neA,maA,scA,soA
enB,neC,maC,scC,soC
enC,neD,maD,scC,soC
enB,neB,maC,scC,soB
enC,neC,maD,scC,soC
enC,neD,maD,scD,soD
enC,neC,maD,scC,soC
enA,neC,maB,scB,soB
enC,neC,maB,scB,soC
enC,neD,maD,scC,soC
enB,neB,maC,scB,soC
enB,neB,maB,scB,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neB,maC,scB,soC
enB,neC,maC,scB,soB
enB,neB,maC,scB,soC
enB,neB,maB,scB,soC
enC,neD,maD,scC,soC
enB,neC,maC,scC,soC
enB,neC,maD,scC,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soB
enB,neB,maD,scC,soB
enA,neA,maA,scA,soA
enB,neC,maD,scC,soC
enB,neB,maC,scC,soB
enB,neB,maC,scB,soB
enB,neC,maD,scD,soD
enC,neC,maC,scB,soC
enB,neB,maC,scB,soB
enB,neB,maC,scC,soB
enA,neB,maC,scA,soB
enC,neC,maC,scC,soD
enB,neB,maD,scB,soC
enC,neD,maD,scD,soD
enB,neB,maC,scB,soB
enB,neC,maD,scB,soC
enC,neD,maD,scD,soD
enB,neC,maD,scC,soD
enA,neA,maA,scA,soA
enC,neD,maC,scC,soD
enB,neC,maD,scB,soC
enA,neA,maB,scA,soB
enA,neA,maA,scA,soA
enA,neB,maB,scB,soA
enC,neC,maD,scC,soD
enA,neB,maA,scA,soB
enA,neB,maD,scB,soC
enC,neC,maC,scD,soC
enB,neC,maC,scC,soD
enB,neB,maB,scC,soB
enC,neD,maD,scD,soD
enA,neA,maA,scA,soB
enB,neC,maC,scB,soC
enC,neD,maC,scD,soD
enC,neD,maC,scC,soC
enB,neC,maD,scD,soC
enB,neC,maD,scC,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enC,neC,maD,scD,soD
enB,neB,maB,scC,soC
enB,neC,maD,scC,soC
enA,neA,maA,scB,soB
enB,neB,maB,scB,soB
enB,neB,maD,scC,soD
enB,neB,maC,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scC,soC
enC,neC,maD,scC,soD
enA,neA,maA,scA,soA
enB,neC,maD,scC,soD
enB,neB,maB,scC,soC
enB,neB,maB,scC,soC
enB,neB,maC,scC,soC
enB,neC,maC,scC,soD
enB,neC,maC,scC,soC
enB,neC,maC,scC,soC
enC,neC,maD,scD,soD
enB,neB,maC,scC,soC
enC,neD,maD,scC,soC
enA,neA,maA,scA,soA
enC,neC,maD,scC,soD
enB,neC,maD,scC,soC
enB,neA,maB,scB,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neB,maA,scA,soA
enA,neB,maB,scB,soA
enA,neB,maA,scA,soA
enA,neA,maB,scA,soB
enB,neB,maB,scB,soA
enB,neC,maB,scA,soB
enB,neB,maC,scB,soB
enA,neB,maC,scB,soB
enB,neB,maC,scB,soB
enB,neB,maC,scA,soC
enA,neB,maD,scB,soA
enB,neB,maC,scB,soB
enB,neC,maC,scB,soB
enB,neC,maC,scB,soB
enB,neC,maD,scC,soB
enB,neC,maD,scC,soB
enB,neC,maC,scC,soB
enB,neC,maC,scC,soC
enB,neC,maC,scC,soB
enB,neB,maD,scC,soB
enB,neC,maD,scC,soB
enB,neC,maD,scC,soA
enB,neC,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scC,soC
enC,neD,maD,scC,soC
enC,neD,maD,scD,soD
enC,neD,maD,scC,soD
enB,neC,maD,scB,soC
enB,neC,maD,scC,soD
enB,neC,maD,scC,soD
enB,neC,maD,scC,soD
enA,neC,maC,scB,soC
enD,neD,maD,scD,soD
enA,neB,maA,scA,soB
enA,neB,maD,scB,soB
enA,neB,maC,scB,soB
enB,neC,maD,scC,soD
enA,neC,maD,scC,soC
enB,neC,maD,scC,soC
enB,neC,maD,scC,soC
enA,neB,maB,scB,soC
enB,neB,maC,scB,soC
enA,neB,maB,scB,soB
enC,neD,maD,scD,soD
enC,neA,maA,scA,soC
enB,neC,maD,scC,soC
enA,neB,maB,scB,soC
enB,neB,maD,scC,soD
enA,neC,maD,scC,soC
enB,neB,maD,scB,soC
enA,neA,maA,scA,soB
enA,neB,maB,scB,soC
enA,neB,maB,scA,soB
enB,neC,maD,scB,soC
enC,neC,maD,scC,soD
enA,neB,maC,scC,soB
enB,neB,maC,scC,soC
enB,neB,maD,scC,soC
enC,neB,maD,scC,soC
enA,neB,maC,scC,soB
enD,neD,maD,scD,soC
enA,neA,maA,scA,soB
enA,neB,maC,scB,soB
enA,neA,maB,scA,soB
enA,neB,maD,scC,soC
enA,neA,maC,scC,soB
enA,neA,maC,scC,soB
enA,neA,maC,scC,soB
enB,neA,maD,scC,soC
enA,neA,maA,scA,soB
enA,neA,maB,scA,soB
